"Segment Name","Size (MB)","Segment Type","Number of Rows"
"IDL_UB1$","55.0","TABLE","14,635"
"SOURCE$","45.0","TABLE","231,944"
"IDL_UB2$","22.0","TABLE","8,891"
"C_TOID_VERSION#","13.0","CLUSTER","-"
"ARGUMENT$","9.0","TABLE","100,961"
"SYS_LOB0000001051C00003$$","9.0","LOBSEGMENT","-"
"IDL_CHAR$","8.0","TABLE","4,218"
"C_OBJ#","8.0","CLUSTER","-"
"I_ARGUMENT1","7.0","INDEX","-"
"VIEW$","6.0","TABLE","4,088"
"I_SOURCE1","5.0","INDEX","-"
"I_ARGUMENT2","5.0","INDEX","-"
"I_COL1","4.0","INDEX","-"
"C_OBJ#_INTCOL#","4.0","CLUSTER","-"
"IDL_SB4$","3.0","TABLE","12,257"
"KOTAD$","3.0","TABLE","-"
"DEPENDENCY$","3.0","TABLE","45,825"
"C_FILE#_BLOCK#","2.0","CLUSTER","-"
"I_DEPENDENCY2","2.0","INDEX","-"
"I_DEPENDENCY1","2.0","INDEX","-"
"HIST_HEAD$","2.0","TABLE","24,220"
"SETTINGS$","2.0","TABLE","36,784"
"I_ACCESS1","2.0","INDEX","-"
"OBJ$","2.0","TABLE","19,605"
"ACCESS$","2.0","TABLE","34,675"
"I_OBJ5","2.0","INDEX","-"
"I_COL3","2.0","INDEX","-"
"I_OBJ2","2.0","INDEX","-"
"I_COL2","2.0","INDEX","-"
"I_PROCEDUREINFO1","2.0","INDEX","-"
"COM$","1.0","TABLE","15,387"
"NATIVE_COMP_SHARED_OBJECTS","1.0","LOBSEGMENT","-"
"I_H_OBJ#_COL#","0.9","INDEX","-"
"SYS_LOB0000000520C00002$$","0.9","LOBSEGMENT","-"
"C_COBJ#","0.9","CLUSTER","-"
"I_SETTINGS1","0.8","INDEX","-"
"PROCEDUREINFO$","0.8","TABLE","18,166"
"I_HH_OBJ#_COL#","0.8","INDEX","-"
"I_OBJ4","0.8","INDEX","-"
"I_HH_OBJ#_INTCOL#","0.8","INDEX","-"
"KOTTD$","0.7","TABLE","-"
"METASCRIPTFILTER$","0.7","TABLE","6,367"
"TRIGGER$","0.6","TABLE","511"
"KOTTB$","0.6","TABLE","-"
"I_COM1","0.5","INDEX","-"
"SYS_C00642","0.5","INDEX","-"
"I_IDL_UB11","0.5","INDEX","-"
"I_OBJ1","0.5","INDEX","-"
"I_METASCRIPTFILTER1$","0.4","INDEX","-"
"I_METASCRIPTFILTER2$","0.4","INDEX","-"
"I_PARAMETER2","0.4","INDEX","-"
"I_ATTRIBUTE1","0.4","INDEX","-"
"I_PARAMETER1","0.4","INDEX","-"
"KOTMD$","0.4","TABLE","-"
"I_CON1","0.4","INDEX","-"
"SYSTEM","0.4","ROLLBACK","-"
"I_ATTRIBUTE2","0.4","INDEX","-"
"I_IDL_SB41","0.4","INDEX","-"
"PARAMIND","0.4","INDEX","-"
"I_METAFILTER$","0.3","INDEX","-"
"I_FILE#_BLOCK#","0.3","INDEX","-"
"METAFILTER$","0.3","TABLE","3,588"
"I_IDL_UB21","0.3","INDEX","-"
"I_OBJAUTH1","0.3","INDEX","-"
"METANAMETRANS$","0.3","TABLE","2,742"
"MON_MODS_ALL$","0.3","TABLE","76"
"PROCEDUREPLSQL$","0.3","TABLE","11,420"
"I_METANAMETRANS1$","0.3","INDEX","-"
"I_METANAMETRANS2$","0.3","INDEX","-"
"I_PROCEDUREPLSQL$","0.3","INDEX","-"
"PK_COL_GROUP_USAGE$","0.3","INDEX","-"
"I_OBJAUTH2","0.3","INDEX","-"
"I_SYN2","0.3","INDEX","-"
"I_CDEF4","0.3","INDEX","-"
"KOTTBX$","0.3","TABLE","-"
"MON_MODS$","0.3","TABLE","0"
"COL_USAGE$","0.3","TABLE","1,584"
"CON$","0.3","TABLE","6,961"
"I_TRIGGERCOL1","0.2","INDEX","-"
"I_TRIGGERCOL2","0.2","INDEX","-"
"I_WARNING_SETTINGS","0.2","INDEX","-"
"SYN$","0.2","TABLE","4,054"
"I_OBJ#","0.2","INDEX","-"
"I_IDL_CHAR1","0.2","INDEX","-"
"I_CCOL2","0.2","INDEX","-"
"I_CDEF2","0.2","INDEX","-"
"OBJAUTH$","0.2","TABLE","6,633"
"I_METHOD1","0.2","INDEX","-"
"PROCEDURE$","0.2","TABLE","2,726"
"I_CCOL1","0.2","INDEX","-"
"METAXSLPARAM$","0.1","TABLE","1,020"
"AQ$_SCHEDULES","0.1","TABLE","0"
"I_METASCRIPT1$","0.1","INDEX","-"
"METASTYLESHEET","0.1","TABLE","179"
"I_METAXSLPARAM$","0.1","INDEX","-"
"I_TOID_VERSION#","0.1","INDEX","-"
"WARNING_SETTINGS$","0.1","TABLE","4,618"
"AQ$_SCHEDULES_PRIMARY","0.1","INDEX","-"
"OID$","0.1","TABLE","2,031"
"I_CON2","0.1","INDEX","-"
"I_IND1","0.1","INDEX","-"
"I_OBJ3","0.1","INDEX","-"
"I_OID1","0.1","INDEX","-"
"I_SYN1","0.1","INDEX","-"
"I_CDEF1","0.1","INDEX","-"
"I_ICOL1","0.1","INDEX","-"
"I_TYPE1","0.1","INDEX","-"
"I_TYPE2","0.1","INDEX","-"
"I_TYPE5","0.1","INDEX","-"
"I_VIEW1","0.1","INDEX","-"
"VTABLE$","0.1","TABLE","1,518"
"I_RESULT1","0.1","INDEX","-"
"RESULTIND","0.1","INDEX","-"
"I_COLTYPE1","0.1","INDEX","-"
"I_COLTYPE2","0.1","INDEX","-"
"SYS_C00640","0.1","INDEX","-"
"SYS_C00641","0.1","INDEX","-"
"SYS_C00643","0.1","INDEX","-"
"SYS_C00644","0.1","INDEX","-"
"METASCRIPT$","0.1","TABLE","752"
"TRIGGERCOL$","0.1","TABLE","3,057"
"METAPATHMAP$","0.1","TABLE","678"
"I_METAPATHMAP$","0.1","INDEX","-"
"EV$","0.1","TABLE","0"
"OL$","0.1","TABLE","0"
"AUD$","0.1","TABLE","0"
"DIM$","0.1","TABLE","0"
"DIR$","0.1","TABLE","4"
"DUAL","0.1","TABLE","1"
"DUC$","0.1","TABLE","10"
"ENC$","0.1","TABLE","0"
"FGA$","0.1","TABLE","0"
